district,date,month,year,visitors
Karimnagar ,2017-01-05,May,2017,0
Karimnagar ,2017-01-06,June,2017,0
Karimnagar ,2017-01-07,July,2017,0
Karimnagar ,2017-01-08,August,2017,0
Karimnagar ,2017-01-09,September,2017,0
Karimnagar ,2017-01-10,October,2017,0
Karimnagar ,2017-01-11,November,2017,0
Karimnagar ,2017-01-12,December,2017,0
Khammam,2017-01-01,January,2017,0
Khammam,2017-01-02,February,2017,0
Khammam,2017-01-03,March,2017,0
Khammam,2017-01-04,April,2017,0
Khammam,2017-01-05,May,2017,0
Khammam,2017-01-06,June,2017,0
Khammam,2017-01-07,July,2017,0
Khammam,2017-01-08,August,2017,0
Khammam,2017-01-09,September,2017,0
Khammam,2017-01-10,October,2017,0
Khammam,2017-01-11,November,2017,0
Khammam,2017-01-12,December,2017,0
Komaram Bheem Asifabad,2017-01-01,January,2017,0
Komaram Bheem Asifabad,2017-01-02,February,2017,0
Komaram Bheem Asifabad,2017-01-03,March,2017,0
Komaram Bheem Asifabad,2017-01-04,April,2017,0
Komaram Bheem Asifabad,2017-01-05,May,2017,0
Komaram Bheem Asifabad,2017-01-06,June,2017,0
Komaram Bheem Asifabad,2017-01-07,July,2017,0
Komaram Bheem Asifabad,2017-01-08,August,2017,0
Komaram Bheem Asifabad,2017-01-09,September,2017,0
Komaram Bheem Asifabad,2017-01-10,October,2017,0
Komaram Bheem Asifabad,2017-01-11,November,2017,0
Komaram Bheem Asifabad,2017-01-12,December,2017,0
Mahabubabad ,2017-01-01,January,2017,0
Mahabubabad ,2017-01-02,February,2017,0
Mahabubabad ,2017-01-03,March,2017,0
Mahabubabad ,2017-01-04,April,2017,0
Mahabubabad ,2017-01-05,May,2017,0
Mahabubabad ,2017-01-06,June,2017,0
Mahabubabad ,2017-01-07,July,2017,0
Mahabubabad ,2017-01-08,August,2017,0
Mahabubabad ,2017-01-09,September,2017,0
Mahabubabad ,2017-01-10,October,2017,0
Mahabubabad ,2017-01-11,November,2017,0
Mahabubabad ,2017-01-12,December,2017,0
Mahbubnagar,2017-01-01,January,2017,42
Mahbubnagar,2017-01-02,February,2017,39
Mahbubnagar,2017-01-03,March,2017,38
Mahbubnagar,2017-01-04,April,2017,39
Mahbubnagar,2017-01-05,May,2017,41
Mahbubnagar,2017-01-06,June,2017,43
Mahbubnagar,2017-01-07,July,2017,42
Mahbubnagar,2017-01-08,August,2017,44
Mahbubnagar,2017-01-09,September,2017,54
Mahbubnagar,2017-01-10,October,2017,47
Mahbubnagar,2017-01-11,November,2017,49
Mahbubnagar,2017-01-12,December,2017,42
Mancherial,2017-01-01,January,2017,0
Mancherial,2017-01-02,February,2017,0
Mancherial,2017-01-03,March,2017,0
Mancherial,2017-01-04,April,2017,0
Mancherial,2017-01-05,May,2017,0
Mancherial,2017-01-06,June,2017,0
Mancherial,2017-01-07,July,2017,0
Mancherial,2017-01-08,August,2017,0
Mancherial,2017-01-09,September,2017,0
Mancherial,2017-01-10,October,2017,0
Mancherial,2017-01-11,November,2017,0
Mancherial,2017-01-12,December,2017,0
Medak ,2017-01-01,January,2017,0
Medak ,2017-01-02,February,2017,0
Medak ,2017-01-03,March,2017,0
Medak ,2017-01-04,April,2017,0
Medak ,2017-01-05,May,2017,0
Medak ,2017-01-06,June,2017,0
Medak ,2017-01-07,July,2017,0
Medak ,2017-01-08,August,2017,0
Medak ,2017-01-09,September,2017,0
Medak ,2017-01-10,October,2017,0
Medak ,2017-01-11,November,2017,0
Medak ,2017-01-12,December,2017,0
Medchal ,2017-01-01,January,2017,0
Medchal ,2017-01-02,February,2017,0
Medchal ,2017-01-03,March,2017,0
Medchal ,2017-01-04,April,2017,0
Medchal ,2017-01-05,May,2017,0
Medchal ,2017-01-06,June,2017,0
Medchal ,2017-01-07,July,2017,0
Medchal ,2017-01-08,August,2017,0
Medchal ,2017-01-09,September,2017,0
Medchal ,2017-01-10,October,2017,0
Medchal ,2017-01-11,November,2017,0
Medchal ,2017-01-12,December,2017,0
Nagarkurnool ,2017-01-01,January,2017,19
Nagarkurnool ,2017-01-02,February,2017,25
Nagarkurnool ,2017-01-03,March,2017,24
Nagarkurnool ,2017-01-04,April,2017,29
Nagarkurnool ,2017-01-05,May,2017,31
Nagarkurnool ,2017-01-06,June,2017,35
Nagarkurnool ,2017-01-07,July,2017,25
Nagarkurnool ,2017-01-08,August,2017,23
Nagarkurnool ,2017-01-09,September,2017,32
Nagarkurnool ,2017-01-10,October,2017,18
Nagarkurnool ,2017-01-11,November,2017,21
Nagarkurnool ,2017-01-12,December,2017,29
Nalgonda,2017-01-01,January,2017,0
Nalgonda,2017-01-02,February,2017,0
Nalgonda,2017-01-03,March,2017,0
Nalgonda,2017-01-04,April,2017,0
Nalgonda,2017-01-05,May,2017,0
Nalgonda,2017-01-06,June,2017,0
Nalgonda,2017-01-07,July,2017,0
Nalgonda,2017-01-08,August,2017,0
Nalgonda,2017-01-09,September,2017,0
Nalgonda,2017-01-10,October,2017,0
Nalgonda,2017-01-11,November,2017,0
Nalgonda,2017-01-12,December,2017,0
Nirmal,2017-01-01,January,2017,0
Nirmal,2017-01-02,February,2017,0
Nirmal,2017-01-03,March,2017,0
Nirmal,2017-01-04,April,2017,0
Nirmal,2017-01-05,May,2017,0
Nirmal,2017-01-06,June,2017,0
Nirmal,2017-01-07,July,2017,0
Nirmal,2017-01-08,August,2017,0
Nirmal,2017-01-09,September,2017,0
Nirmal,2017-01-10,October,2017,0
Nirmal,2017-01-11,November,2017,0
Nirmal,2017-01-12,December,2017,0
Nizamabad,2017-01-01,January,2017,0
Nizamabad,2017-01-02,February,2017,0
Nizamabad,2017-01-03,March,2017,0
Nizamabad,2017-01-04,April,2017,2
Nizamabad,2017-01-05,May,2017,0
Nizamabad,2017-01-06,June,2017,0
Nizamabad,2017-01-07,July,2017,0
Nizamabad,2017-01-08,August,2017,0
Nizamabad,2017-01-09,September,2017,0
Nizamabad,2017-01-10,October,2017,0
Nizamabad,2017-01-11,November,2017,0
Nizamabad,2017-01-12,December,2017,0
Peddapalli,2017-01-01,January,2017,0
Peddapalli,2017-01-02,February,2017,0
Peddapalli,2017-01-03,March,2017,0
Peddapalli,2017-01-04,April,2017,0
Peddapalli,2017-01-05,May,2017,0
Peddapalli,2017-01-06,June,2017,0
Peddapalli,2017-01-07,July,2017,0
Peddapalli,2017-01-08,August,2017,0
